<<<<<<< HEAD
,Apartment,Bed & Breakfast,Boat,Bungalow,Cabin,Camper/RV,Chalet,Condominium,Dorm,House,Loft,Other,Tent,Townhouse,Treehouse,Yurt,accommodates,availability_30,availability_365,availability_60,availability_90,bathrooms,bedrooms,beds,calculated_host_listings_count,guests_included,host_id,host_listings_count,host_total_listings_count,id,latitude,license,longitude,maximum_nights,minimum_nights,number_of_reviews,price,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,reviews_per_month,scrape_id,square_feet
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,346,41,71,1.0,1.0,1.0,2,2,956883,3.0,3.0,241032,47.6362890384,,-122.3710252,365,1,207,85,10.0,10.0,10.0,10.0,9.0,95.0,10.0,4.07,20160104002432,
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,291,13,16,1.0,1.0,1.0,6,1,5177328,6.0,6.0,953595,47.6391231214,,-122.365666464,90,2,43,150,10.0,10.0,10.0,10.0,10.0,96.0,10.0,1.48,20160104002432,
2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,1,220,6,17,4.5,5.0,7.0,2,10,16708587,2.0,2.0,3308979,47.6297241316,,-122.369483176,30,4,20,975,10.0,10.0,10.0,10.0,10.0,97.0,10.0,1.15,20160104002432,
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,143,0,0,1.0,0.0,2.0,1,1,9851441,1.0,1.0,7421966,47.6384732018,,-122.369279123,1125,1,0,100,,,,,,,,,20160104002432,
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,30,365,60,90,2.0,3.0,3.0,1,6,1452570,2.0,2.0,278830,47.6329184028,,-122.372470634,1125,1,38,450,9.0,10.0,9.0,10.0,9.0,92.0,9.0,0.89,20160104002432,
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,302,0,27,1.0,1.0,1.0,1,1,326758,1.0,1.0,5956968,47.6305254824,,-122.366174065,6,1,17,120,10.0,10.0,10.0,10.0,10.0,95.0,10.0,2.45,20160104002432,
6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,20,346,49,71,1.0,1.0,1.0,1,1,2497928,1.0,1.0,1909058,47.6366054453,,-122.368519058,14,3,58,80,10.0,10.0,10.0,10.0,10.0,99.0,10.0,2.46,20160104002432,
7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,22,100,42,42,1.0,1.0,1.0,5,1,4016632,5.0,5.0,856550,47.6401605412,,-122.375855979,7,2,173,60,10.0,10.0,10.0,10.0,9.0,97.0,10.0,4.73,20160104002432,
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,341,36,66,1.0,1.0,1.0,1,1,2166277,1.0,1.0,4948745,47.6324102998,,-122.357216069,1125,3,8,90,10.0,10.0,9.0,9.0,10.0,97.0,10.0,1.22,20160104002432,
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,324,19,49,1.0,1.0,1.0,6,1,5177328,6.0,6.0,2493658,47.6374917202,,-122.366888591,365,2,32,150,10.0,10.0,10.0,10.0,10.0,97.0,9.0,1.55,20160104002432,
